time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.586448431,0.925261557,7.74323183e-08,0.571771085,0.905374,-0.01123768,0.561402857,0.904070199,-0.0193529688,0.55225724,0.922157049,-0.0248653721,0.553161,0.943795204,-0.0313925371,0.60045284,0.884066224,-0.0304654576,0.590353668,0.892870843,-0.040622063,0.57188946,0.906255841,-0.0472862162,0.558607042,0.915844142,-0.0519138686,0.611231446,0.908707,-0.0295735281,0.598632932,0.921542525,-0.0389170051,0.575936496,0.933674037,-0.0429720357,0.562000334,0.938630283,-0.0474877805,0.614191115,0.935635865,-0.0282168984,0.601153374,0.952823281,-0.0365384,0.578319728,0.960617781,-0.0398824029,0.563298166,0.960154057,-0.0427820086,0.612642348,0.962816894,-0.0274202824,0.602018595,0.982408583,-0.0345112048,0.585186899,0.986231565,-0.0374374241,0.572587371,0.98203522,-0.0403882973,0.253827333,0.634285629,5.07085218e-08,0.27658695,0.6161322,-0.0126058683,0.294940144,0.587279379,-0.0215724334,0.315009743,0.572111785,-0.0300256442,0.3341012,0.561193407,-0.0399500318,0.266551465,0.563102722,-0.0236051325,0.263004661,0.533345461,-0.0363580696,0.258574247,0.517008185,-0.0462139249,0.253406078,0.50338757,-0.0535167344,0.249647066,0.577468395,-0.0260317363,0.244219676,0.560941219,-0.0372260325,0.241551757,0.550433636,-0.0447056293,0.237956703,0.54076612,-0.0514013842,0.236356869,0.600570917,-0.0294755101,0.228171,0.589904,-0.0407648,0.22340019,0.580074608,-0.0462364703,0.218205959,0.56959331,-0.0510977432,0.226771727,0.627383351,-0.0340261608,0.218815356,0.62940675,-0.0438092873,0.214417979,0.63126123,-0.0469492041,0.209608153,0.63128978,-0.0499432385
33.36666666666667,0.584858716,0.916171134,4.0918497e-08,0.572925508,0.91412431,-0.00951817539,0.564169586,0.919551313,-0.0168553796,0.554368377,0.926483,-0.0221305955,0.553592682,0.934869289,-0.0278826896,0.604330719,0.912147939,-0.0269459654,0.594390213,0.930464,-0.0364731178,0.575249076,0.938459933,-0.0425042361,0.561146438,0.942614257,-0.0466458499,0.614312589,0.913767278,-0.0271430798,0.601262927,0.933303714,-0.0370763279,0.577371299,0.940227687,-0.0410954691,0.562480628,0.945321262,-0.0450010337,0.615417182,0.918060243,-0.0269762259,0.601944,0.941402853,-0.0360240564,0.57828486,0.948953867,-0.0390135124,0.56263268,0.953727841,-0.0409308523,0.611072898,0.926291049,-0.027364552,0.599407256,0.949613392,-0.03510198,0.580767751,0.959282756,-0.0380842276,0.56656909,0.964662254,-0.0405169725,0.249510348,0.633541286,8.17533348e-08,0.270610452,0.618163228,-0.0131711541,0.28617385,0.594044149,-0.022451885,0.303206384,0.579218149,-0.0312435552,0.319924235,0.568013668,-0.0411564894,0.261073291,0.563087523,-0.0205928441,0.256075,0.530305326,-0.0319551229,0.251901746,0.513785541,-0.0407059081,0.247366264,0.499863207,-0.0472169816,0.245365918,0.575668395,-0.0218236316,0.23941277,0.555981398,-0.032834053,0.235657021,0.548307717,-0.0398024768,0.231086046,0.541575372,-0.0453304946,0.232952282,0.596844554,-0.0242300536,0.223731861,0.583655775,-0.0341127031,0.217461765,0.575103641,-0.0388897844,0.210848287,0.566529572,-0.042884361,0.224103689,0.621870637,-0.0279055238,0.216960624,0.619963467,-0.0361174,0.212720096,0.619940102,-0.0388932079,0.20794335,0.617965639,-0.0413012654
66.73333333333333,0.584005058,0.923478067,6.8015666e-08,0.570909917,0.907273829,-0.0083798,0.563078344,0.907048881,-0.015755631,0.554192662,0.918191314,-0.0213307664,0.552396655,0.931953251,-0.0278140977,0.600521922,0.901658833,-0.0261132885,0.591139138,0.917234659,-0.0355941653,0.572831035,0.926276565,-0.0419958904,0.558893859,0.931305468,-0.0466441698,0.610938251,0.916359365,-0.0270185452,0.598351419,0.934952199,-0.0365767144,0.576134324,0.940366089,-0.0408049822,0.562092066,0.941802502,-0.0451436415,0.613353789,0.933031201,-0.0274642,0.600628793,0.955789804,-0.035934452,0.578559,0.959955513,-0.0388445258,0.563803732,0.959151566,-0.0411748,0.610912085,0.951482713,-0.0283240769,0.601204336,0.976119041,-0.0355963074,0.584914804,0.982952416,-0.0383034796,0.572112739,0.98289,-0.0408239253,0.243858546,0.628609836,1.07254849e-07,0.266695023,0.609223187,-0.012961979,0.284309238,0.581961334,-0.022439355,0.304170758,0.565389812,-0.031343624,0.32334283,0.552898645,-0.0419548228,0.255591244,0.557282567,-0.0230582915,0.250983685,0.524910569,-0.0346257314,0.246393979,0.507194877,-0.0440287255,0.241098791,0.491759211,-0.0513250791,0.239769235,0.573070288,-0.0247432739,0.232777148,0.552426875,-0.0345642306,0.2291186,0.542148411,-0.0422473066,0.224513248,0.530513108,-0.0494528413,0.22824277,0.59707427,-0.0272591244,0.219252035,0.581940234,-0.03704964,0.212614208,0.572961926,-0.0426062942,0.205521166,0.562351823,-0.0478216112,0.220635504,0.625212491,-0.0308810044,0.214666218,0.61962384,-0.0395194776,0.210740417,0.61792171,-0.0425674058,0.206187099,0.614591777,-0.0456427224
100.1,0.569808304,0.929259598,6.33366852e-08,0.565825701,0.929019809,-0.00926529709,0.565765321,0.933972239,-0.0196250379,0.561762094,0.940096259,-0.0280158632,0.558066666,0.944661915,-0.0372161232,0.598930538,0.945664227,-0.0339453369,0.591329932,0.963097572,-0.0466366671,0.575165,0.962002337,-0.0542447977,0.562817514,0.957817495,-0.0590596199,0.602285445,0.946191,-0.0344576649,0.589022815,0.960283875,-0.0455550924,0.572004378,0.953280747,-0.0475649275,0.562299,0.94619447,-0.0500253662,0.598828852,0.944353044,-0.0344134681,0.585318804,0.958642244,-0.0435572416,0.571273685,0.95150423,-0.0417508781,0.563819468,0.943769455,-0.0404647291,0.591157258,0.943144798,-0.0349679142,0.580112696,0.955280304,-0.0416398235,0.569463432,0.95165658,-0.0405483246,0.562927723,0.94612813,-0.040032614,0.239491507,0.630382,4.83845461e-08,0.2637375,0.606289208,-0.0111861313,0.281365722,0.573964775,-0.0198645219,0.300008804,0.554896,-0.0282022655,0.317249984,0.541159272,-0.0380226336,0.253068656,0.550437212,-0.0222200081,0.247505754,0.515304565,-0.0346984863,0.24301669,0.496869147,-0.0444944277,0.238030702,0.482640088,-0.0518642478,0.236891404,0.56639719,-0.0250691958,0.229197696,0.544419348,-0.036167752,0.226579145,0.533340752,-0.044139415,0.22297059,0.523251235,-0.051439926,0.224314779,0.590375543,-0.0288263,0.215465575,0.573944509,-0.0398452133,0.210774168,0.563553095,-0.0458243303,0.205344707,0.55280757,-0.0513563417,0.215823799,0.618919492,-0.0335303396,0.209607676,0.613349557,-0.0429448299,0.20709452,0.612216353,-0.0466092676,0.204136,0.608816743,-0.0503097475
133.46666666666667,0.575410783,0.924591064,4.13676311e-08,0.570845127,0.939777493,-0.0100593,0.568688273,0.95026207,-0.0202428158,0.56223464,0.950867772,-0.02842425,0.557293952,0.94217819,-0.037073385,0.597660899,0.968955398,-0.0344260745,0.585123599,0.979307234,-0.0474877879,0.570305645,0.971636653,-0.0544187315,0.560124636,0.963193476,-0.0584921204,0.600499213,0.954259574,-0.0344693474,0.582596064,0.96002543,-0.0461472757,0.56783694,0.949933529,-0.0479549766,0.560739279,0.94206363,-0.0499004908,0.597662687,0.935119629,-0.034135025,0.580117941,0.941985071,-0.0439597555,0.568904757,0.93329972,-0.04220099,0.564985812,0.926676631,-0.0406574495,0.590991,0.915835559,-0.0344322398,0.5768466,0.922572792,-0.041617576,0.567679167,0.91713953,-0.0407338813,0.563977957,0.911953628,-0.0400665,0.237575561,0.630536675,3.99142763e-08,0.261585265,0.599107504,-0.00834534504,0.280392051,0.558025181,-0.0156681649,0.300237447,0.536719799,-0.0230605025,0.316897929,0.520963371,-0.0319551304,0.253917396,0.544889748,-0.0213826168,0.249138594,0.508183897,-0.0331941918,0.243983,0.487659931,-0.0425115675,0.238298804,0.470810771,-0.0498566851,0.238790706,0.562492549,-0.02557192,0.231100276,0.538025796,-0.0358321816,0.229277611,0.524579048,-0.0437683314,0.226298481,0.512267292,-0.0515375733,0.22646983,0.587986112,-0.0302810743,0.218982875,0.568870306,-0.0408065654,0.215385869,0.557111263,-0.0466345,0.210352927,0.544092834,-0.0524701737,0.217813,0.617387831,-0.0355990343,0.212994784,0.610496163,-0.0453904755,0.210805684,0.606649399,-0.0494929329,0.207355991,0.600511849,-0.0537241176
166.83333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239827827,0.616558611,1.1776266e-07,0.264038026,0.58751297,-0.00976815633,0.282438427,0.549475193,-0.0180502795,0.302409232,0.526077211,-0.0259519462,0.319535404,0.506861389,-0.0354464278,0.256420583,0.533383667,-0.0230885632,0.251336485,0.495506167,-0.0340621024,0.247448057,0.473999,-0.0422643535,0.244312301,0.455559075,-0.0488451123,0.242644802,0.549944,-0.0264287069,0.237714261,0.526022911,-0.0364064835,0.237874702,0.511870325,-0.0435531735,0.237419903,0.496964514,-0.0505203158,0.230910212,0.574208319,-0.0301992297,0.224014416,0.555714667,-0.0402715579,0.220501631,0.545096099,-0.0453568101,0.217015699,0.532632589,-0.0505291,0.22173661,0.602794588,-0.0346639343,0.216128334,0.59501183,-0.0435898341,0.214934468,0.591876626,-0.0467246,0.213931695,0.587400317,-0.0501249507
200.20000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248130038,0.619602,1.4884634e-07,0.269503832,0.582299054,-0.00786103122,0.285753548,0.538807094,-0.0164227951,0.305022687,0.513016284,-0.024959974,0.321487635,0.491952479,-0.0350941829,0.259366304,0.52174592,-0.0231708027,0.254959732,0.483112574,-0.0358277,0.252197117,0.462200195,-0.0448986813,0.24993898,0.443130791,-0.0519908629,0.247341231,0.539479315,-0.0281610787,0.243517935,0.511570275,-0.0409152433,0.24755764,0.499412715,-0.0495140292,0.250820309,0.485435843,-0.0568858087,0.237402096,0.566528261,-0.0333936885,0.22954616,0.548799932,-0.0455489643,0.228233,0.535196185,-0.0518118851,0.227159619,0.518287361,-0.0575256422,0.230472147,0.597756505,-0.0390759036,0.22606869,0.589055538,-0.0490758419,0.227974325,0.58316654,-0.0529642254,0.230066717,0.575342536,-0.0569024868
233.5666666666667,0.586330175,0.908243477,-1.99489545e-08,0.582030952,0.929113626,-0.00816880912,0.573053181,0.944958746,-0.0153046288,0.562514126,0.954724669,-0.0205265842,0.556001365,0.964561522,-0.0258371681,0.595672846,0.930529952,-0.0276082978,0.579001307,0.946057796,-0.0371006131,0.568386674,0.94814539,-0.0417937711,0.563303709,0.947591603,-0.0442112647,0.596779943,0.91345048,-0.0270190034,0.581195235,0.929438472,-0.0352711901,0.569456458,0.930202842,-0.0362239145,0.564441204,0.928672969,-0.0373660251,0.594985545,0.89871347,-0.0260572955,0.579957843,0.913972914,-0.0331504419,0.569960773,0.913602412,-0.0324433483,0.566722751,0.911434293,-0.031659659,0.591137469,0.886556327,-0.0254727323,0.579500914,0.895909429,-0.0314412229,0.571728468,0.895475149,-0.0316598602,0.569078386,0.8936463,-0.0316134132,0.252518982,0.608765125,1.73888083e-07,0.273124188,0.571628451,-0.00896013249,0.288285494,0.529583,-0.0182532333,0.307253867,0.503651083,-0.0272933505,0.324119121,0.482153624,-0.0381982662,0.264399797,0.512901187,-0.0258728843,0.260709077,0.47470364,-0.0394940153,0.258453786,0.453542382,-0.0489379354,0.257595897,0.43286109,-0.0562161654,0.253334045,0.530452,-0.0305206887,0.249234289,0.504802763,-0.0444136225,0.253050596,0.490383536,-0.053264454,0.257173568,0.474207133,-0.0607968196,0.243891716,0.557011783,-0.035533186,0.237607077,0.540936589,-0.0489816591,0.239540637,0.528274059,-0.0562132411,0.242297202,0.514276147,-0.0623523928,0.237275794,0.58834666,-0.0410606228,0.233994082,0.580559671,-0.0525840186,0.23856093,0.575242579,-0.0579119325,0.244576856,0.568267286,-0.0627472475
266.93333333333334,0.597304225,0.90854311,-3.20667581e-08,0.587503791,0.918200791,-0.00540955039,0.574385643,0.93214649,-0.0110599687,0.562957,0.947139084,-0.0154428231,0.557113945,0.959298,-0.0199763477,0.589953125,0.915255606,-0.0210955497,0.569433093,0.93205291,-0.0290240478,0.561940074,0.937703311,-0.03296661,0.560886502,0.939786077,-0.0347147807,0.593649268,0.909094572,-0.021433292,0.576467276,0.929326653,-0.0278136749,0.568722,0.931930363,-0.0287029669,0.566735506,0.929641783,-0.0296454616,0.595584869,0.905329287,-0.0213266574,0.578796446,0.925520778,-0.0266023036,0.571833134,0.925651968,-0.0256168563,0.570060968,0.921935081,-0.024832515,0.595508754,0.902730405,-0.0213413537,0.582556605,0.917154431,-0.0261031333,0.576810062,0.915894747,-0.0254033729,0.574972749,0.911511,-0.0245220754,0.255947828,0.606519163,1.71591282e-07,0.275993556,0.570203722,-0.00751354685,0.289975941,0.526050568,-0.0161395893,0.307666749,0.498282105,-0.0247213095,0.32467714,0.475690454,-0.0350969806,0.267424315,0.512572587,-0.024521837,0.264639646,0.471458614,-0.0379576385,0.263607204,0.44677043,-0.0468990281,0.26445967,0.424370378,-0.0538694337,0.257671505,0.52791971,-0.0300994124,0.254606128,0.498283058,-0.0445599407,0.260416538,0.480430067,-0.0533605553,0.267328501,0.463586122,-0.0603537187,0.249368146,0.552603722,-0.0359851234,0.245324805,0.527010441,-0.0505832173,0.25278607,0.509845912,-0.0587953,0.261261761,0.493451059,-0.0651150197,0.243904561,0.583018899,-0.0420828089,0.241080776,0.573897779,-0.0552285202,0.247762099,0.567139387,-0.0617607608,0.256494612,0.560519755,-0.0670343116
300.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258274943,0.602635205,2.39083022e-07,0.278560281,0.562221527,-0.00642022397,0.293561578,0.519463181,-0.0154789155,0.311026901,0.493937016,-0.0246889498,0.328321844,0.474006504,-0.0353051946,0.266416609,0.503937721,-0.0260148,0.266762674,0.464470357,-0.0412560143,0.271287799,0.441390425,-0.0513946526,0.277870238,0.4217408,-0.0587871671,0.2560305,0.520662963,-0.0319510959,0.256925285,0.494018167,-0.0486930646,0.267701387,0.476760864,-0.0582605787,0.278683484,0.463380724,-0.0653643236,0.24909851,0.546022296,-0.0379729755,0.251244694,0.527110636,-0.0543698706,0.260833234,0.510595918,-0.063148126,0.269833237,0.497194707,-0.069301717,0.2468023,0.576525509,-0.0441234484,0.254308164,0.567334235,-0.05815842,0.264126152,0.560433805,-0.0651932955,0.273854285,0.55496496,-0.0704592913
